team_id	team_name	team_games	Net_Rush_Yds	Pass_Yds	Tot_Off	Plays	Yds_Per_Play	First_Downs_By_Penalty	Penalties	Penalties_Per_Game	Penalties_Yds_Per_Game	Tot_Off_Yards_Per_Game	opp_team_games	opp_Net_Rush_Yds	opp_Pass_Yds	opp_Tot_Off	opp_Plays	opp_Yds_Per_Play	opp_First_Downs_By_Penalty	opp_Penalties	opp_Penalties_Per_Game	opp_Penalties_Yds_Per_Game	opp_Tot_Off_Yards_Per_Game
768	West Virginia	12	1,784	3,148	411.00	892	0.00	27	63	5.25	49.25	411.00	12	1,784	3,148	411.00	892	0.00	27	63	5.25	49.25	411.00
706	UTSA	12	2,105	2,909	417.83	838	0.00	16	75	6.25	55.50	417.83	12	2,105	2,909	417.83	838	0.00	16	75	6.25	55.50	417.83
664	Southern Miss.	12	875	2,911	315.50	820	0.00	27	67	5.58	42.33	315.50	12	875	2,911	315.50	820	0.00	27	67	5.58	42.33	315.50
663	SMU	12	1,125	4,097	435.17	945	0.00	26	90	7.50	64.17	435.17	12	1,125	4,097	435.17	945	0.00	26	90	7.50	64.17	435.17
498	La.-Monroe	12	1,474	2,850	360.33	860	0.00	20	61	5.08	41.92	360.33	12	1,474	2,850	360.33	860	0.00	20	61	5.08	41.92	360.33
497	North Texas	13	2,349	2,987	410.46	951	0.00	16	82	6.31	52.85	410.46	13	2,349	2,987	410.46	951	0.00	16	82	6.31	52.85	410.46
490	North Carolina St.	12	1,952	2,890	403.50	945	0.00	14	69	5.75	43.33	403.50	12	1,952	2,890	403.50	945	0.00	14	69	5.75	43.33	403.50
690	Temple	12	1,792	2,996	399.00	840	0.00	15	77	6.42	53.42	399.00	12	1,792	2,996	399.00	840	0.00	15	77	6.42	53.42	399.00
27	Appalachian St.	12	1,656	3,261	409.75	845	0.00	12	81	6.75	55.33	409.75	12	1,656	3,261	409.75	845	0.00	12	81	6.75	55.33	409.75
697	Texas A&M	13	2,406	4,593	538.38	954	0.00	17	81	6.23	53.08	538.38	13	2,406	4,593	538.38	954	0.00	17	81	6.23	53.08	538.38
694	Tennessee	12	2,261	1,979	353.33	804	0.00	22	55	4.58	37.92	353.33	12	2,261	1,979	353.33	804	0.00	22	55	4.58	37.92	353.33
698	TCU	12	1,423	2,715	344.83	822	0.00	21	79	6.58	54.08	344.83	12	1,423	2,715	344.83	822	0.00	21	79	6.58	54.08	344.83
28	Arizona St.	14	2,679	3,723	457.29	1,102	0.00	28	56	4.00	31.36	457.29	14	2,679	3,723	457.29	1,102	0.00	28	56	4.00	31.36	457.29
29	Arizona	13	3,444	2,516	458.46	1,030	0.00	20	52	4.00	36.77	458.46	13	3,444	2,516	458.46	1,030	0.00	20	52	4.00	36.77	458.46
288	Houston	13	1,807	3,647	419.54	953	0.00	32	98	7.54	67.77	419.54	13	1,807	3,647	419.54	953	0.00	32	98	7.54	67.77	419.54
404	Memphis	12	1,660	2,078	311.50	799	0.00	20	92	7.67	71.83	311.50	12	1,660	2,078	311.50	799	0.00	20	92	7.67	71.83	311.50
400	Massachusetts	12	1,502	1,877	281.58	787	0.00	13	60	5.00	43.33	281.58	12	1,502	1,877	281.58	787	0.00	13	60	5.00	43.33	281.58
8	Alabama	13	2,673	3,230	454.08	826	0.00	19	63	4.85	40.00	454.08	13	2,673	3,230	454.08	826	0.00	19	63	4.85	40.00	454.08
719	Tulsa	12	1,977	2,297	356.17	912	0.00	18	37	3.08	25.42	356.17	12	1,977	2,297	356.17	912	0.00	18	37	3.08	25.42	356.17
718	Tulane	13	1,649	2,404	311.77	870	0.00	24	92	7.08	62.69	311.77	13	1,649	2,404	311.77	870	0.00	24	92	7.08	62.69	311.77
674	Stanford	14	2,904	2,771	405.36	895	0.00	19	74	5.29	44.29	405.36	14	2,904	2,771	405.36	895	0.00	19	74	5.29	44.29	405.36
716	Troy	12	1,692	3,867	463.25	920	0.00	15	88	7.33	74.58	463.25	12	1,692	3,867	463.25	920	0.00	15	88	7.33	74.58	463.25
670	Texas St.	12	2,058	1,857	326.25	771	0.00	13	87	7.25	62.58	326.25	12	2,058	1,857	326.25	771	0.00	13	87	7.25	62.58	326.25
671	UL Lafayette	13	2,659	2,759	416.77	883	0.00	16	68	5.23	49.31	416.77	13	2,659	2,759	416.77	883	0.00	16	68	5.23	49.31	416.77
651	South Fla.	12	1,064	2,002	255.50	716	0.00	17	102	8.50	71.75	255.50	12	1,064	2,002	255.50	716	0.00	17	102	8.50	71.75	255.50
128	UCF	13	2,079	3,661	441.54	875	0.00	24	62	4.77	41.62	441.54	13	2,079	3,661	441.54	875	0.00	24	62	4.77	41.62	441.54
129	Central Mich.	12	1,593	2,500	341.08	756	0.00	10	52	4.33	41.67	341.08	12	1,593	2,500	341.08	756	0.00	10	52	4.33	41.67	341.08
574	Rice	14	3,183	2,495	405.57	1,046	0.00	18	74	5.29	45.29	405.57	14	3,183	2,495	405.57	1,046	0.00	18	74	5.29	45.29	405.57
736	Vanderbilt	13	1,807	2,958	366.54	880	0.00	17	63	4.85	39.85	366.54	13	1,807	2,958	366.54	880	0.00	17	63	4.85	39.85	366.54
51	Baylor	13	3,376	4,668	618.77	1,074	0.00	19	120	9.23	82.31	618.77	13	3,376	4,668	618.77	1,074	0.00	19	120	9.23	82.31	618.77
414	Miami (OH)	12	1,219	1,491	225.83	737	0.00	13	52	4.33	34.17	225.83	12	1,219	1,491	225.83	737	0.00	13	52	4.33	34.17	225.83
415	Miami (FL)	13	2,084	3,452	425.85	820	0.00	20	71	5.46	44.77	425.85	13	2,084	3,452	425.85	820	0.00	20	71	5.46	44.77	425.85
416	Michigan St.	14	2,433	2,964	385.50	999	0.00	20	76	5.43	50.43	385.50	14	2,433	2,964	385.50	999	0.00	20	76	5.43	50.43	385.50
295	Idaho	12	1,650	2,770	368.33	925	0.00	24	77	6.42	50.67	368.33	12	1,650	2,770	368.33	925	0.00	24	77	6.42	50.67	368.33
418	Michigan	13	1,634	3,221	373.46	893	0.00	17	54	4.15	34.46	373.46	13	1,634	3,221	373.46	893	0.00	17	54	4.15	34.46	373.46
419	Middle Tenn.	13	2,591	2,707	407.54	929	0.00	21	54	4.15	42.69	407.54	13	2,591	2,707	407.54	929	0.00	21	54	4.15	42.69	407.54
539	Penn St.	12	2,088	3,110	391.42	910	0.00	25	55	4.58	33.58	391.42	12	2,088	3,110	391.42	910	0.00	25	55	4.58	33.58	391.42
709	Toledo	12	2,887	2,481	447.33	843	0.00	16	69	5.75	50.75	447.33	12	2,887	2,481	447.33	843	0.00	16	69	5.75	50.75	447.33
774	Western Mich.	12	1,394	2,532	327.17	827	0.00	17	83	6.92	60.33	327.17	12	1,394	2,532	327.17	827	0.00	17	83	6.92	60.33	327.17
704	UTEP	12	2,216	1,959	347.92	826	0.00	15	48	4.00	34.08	347.92	12	2,216	1,959	347.92	826	0.00	15	48	4.00	34.08	347.92
312	Iowa	13	2,339	2,562	377.00	932	0.00	17	52	4.00	32.69	377.00	13	2,339	2,562	377.00	932	0.00	17	52	4.00	32.69	377.00
311	Iowa St.	12	1,726	2,630	363.00	903	0.00	6	66	5.50	47.00	363.00	12	1,726	2,630	363.00	903	0.00	6	66	5.50	47.00	363.00
196	East Carolina	13	1,821	4,265	468.15	1,028	0.00	26	69	5.31	44.92	468.15	13	1,821	4,265	468.15	1,028	0.00	26	69	5.31	44.92	468.15
700	Texas Tech	13	1,536	5,107	511.00	1,136	0.00	30	104	8.00	75.23	511.00	13	1,536	5,107	511.00	1,136	0.00	30	104	8.00	75.23	511.00
193	Duke	14	2,492	3,474	426.14	1,016	0.00	9	64	4.57	40.71	426.14	14	2,492	3,474	426.14	1,016	0.00	9	64	4.57	40.71	426.14
703	Texas	13	2,551	2,762	408.69	1,005	0.00	30	67	5.15	45.92	408.69	13	2,551	2,762	408.69	1,005	0.00	30	67	5.15	45.92	408.69
392	Maryland	13	1,929	3,231	396.92	891	0.00	19	58	4.46	36.69	396.92	13	1,929	3,231	396.92	891	0.00	19	58	4.46	36.69	396.92
110	UCLA	13	2,556	3,274	448.46	956	0.00	23	106	8.15	73.85	448.46	13	2,556	3,274	448.46	956	0.00	23	106	8.15	73.85	448.46
277	Hawaii	12	1,375	3,617	416.00	947	0.00	17	88	7.33	64.75	416.00	12	1,375	3,617	416.00	947	0.00	17	88	7.33	64.75	416.00
86	Buffalo	13	2,176	2,955	394.69	965	0.00	28	77	5.92	61.38	394.69	13	2,176	2,955	394.69	965	0.00	28	77	5.92	61.38	394.69
796	Wisconsin	13	3,689	2,562	480.85	912	0.00	7	55	4.23	37.23	480.85	13	3,689	2,562	480.85	912	0.00	7	55	4.23	37.23	480.85
428	Minnesota	13	2,538	1,925	343.31	853	0.00	11	57	4.38	36.08	343.31	13	2,538	1,925	343.31	853	0.00	11	57	4.38	36.08	343.31
521	Oklahoma St.	13	2,231	3,603	448.77	987	0.00	27	87	6.69	60.00	448.77	13	2,231	3,603	448.77	987	0.00	27	87	6.69	60.00	448.77
