team_id	team_name	team_games	Net_Rush_Yds	Pass_Yds	Tot_Off	Plays	Yds_Per_Play	First_Downs_By_Penalty	Penalties	Penalties_Per_Game	Penalties_Yds_Per_Game	Tot_Off_Yards_Per_Game	opp_team_games	opp_Net_Rush_Yds	opp_Pass_Yds	opp_Tot_Off	opp_Plays	opp_Yds_Per_Play	opp_First_Downs_By_Penalty	opp_Penalties	opp_Penalties_Per_Game	opp_Penalties_Yds_Per_Game	opp_Tot_Off_Yards_Per_Game
768	West Virginia	13	2,376	4,121	499.77	1,097	0.00	37	85	6.54	58.23	499.77	13	2,376	4,121	499.77	1,097	0.00	37	85	6.54	58.23	499.77
706	UTSA	12	1,466	2,104	297.50	796	0.00	14	85	7.08	65.75	297.50	12	1,466	2,104	297.50	796	0.00	14	85	7.08	65.75	297.50
664	Southern Miss.	12	1,149	3,231	365.00	858	0.00	30	77	6.42	60.92	365.00	12	1,149	3,231	365.00	858	0.00	30	77	6.42	60.92	365.00
663	SMU	12	1,204	2,024	269.00	792	0.00	17	74	6.17	52.67	269.00	12	1,204	2,024	269.00	792	0.00	17	74	6.17	52.67	269.00
498	La.-Monroe	12	834	3,359	349.42	892	0.00	16	53	4.42	35.42	349.42	12	834	3,359	349.42	892	0.00	16	53	4.42	35.42	349.42
497	North Texas	12	1,838	2,073	325.92	803	0.00	21	63	5.25	50.25	325.92	12	1,838	2,073	325.92	803	0.00	21	63	5.25	50.25	325.92
490	North Carolina St.	13	2,659	2,652	408.54	889	0.00	20	63	4.85	42.92	408.54	13	2,659	2,652	408.54	889	0.00	20	63	4.85	42.92	408.54
690	Temple	12	1,293	2,408	274.92	772	0.00	15	78	6.50	54.42	274.92	12	1,293	2,408	274.92	772	0.00	15	78	6.50	54.42	274.92
27	Appalachian St.	12	2,901	2,637	461.50	877	0.00	32	88	7.33	62.92	461.50	12	2,901	2,637	461.50	877	0.00	32	88	7.33	62.92	461.50
697	Texas A&M	13	1,949	3,971	455.38	935	0.00	15	68	5.23	51.00	455.38	13	1,949	3,971	455.38	935	0.00	15	68	5.23	51.00	455.38
694	Tennessee	13	1,903	2,914	370.54	977	0.00	20	54	4.15	34.15	370.54	13	1,903	2,914	370.54	977	0.00	20	54	4.15	34.15	370.54
698	TCU	13	2,689	4,240	533.00	1,038	0.00	19	82	6.31	57.85	533.00	13	2,689	4,240	533.00	1,038	0.00	19	82	6.31	57.85	533.00
28	Arizona St.	13	2,194	3,556	442.31	975	0.00	25	58	4.46	32.38	442.31	13	2,194	3,556	442.31	975	0.00	25	58	4.46	32.38	442.31
29	Arizona	14	2,546	3,945	463.64	1,139	0.00	42	92	6.57	62.93	463.64	14	2,546	3,945	463.64	1,139	0.00	42	92	6.57	62.93	463.64
288	Houston	13	2,390	2,993	414.08	945	0.00	33	84	6.46	59.31	414.08	13	2,390	2,993	414.08	945	0.00	33	84	6.46	59.31	414.08
404	Memphis	13	2,476	3,076	427.08	1,012	0.00	27	81	6.23	59.23	427.08	13	2,476	3,076	427.08	1,012	0.00	27	81	6.23	59.23	427.08
